tag_id,tag_name
0,-
1,--1-
2,--10-
3,--12-
4,--122-
5,--166-
6,--17-
7,--19-
8,--2-
9,--258-
10,--3-
11,--33-
12,--4-
13,--5-
14,--51-
15,--6-
16,--62-
17,--8-
18,--99-
19,--available-at-raspberrys--
20,-2001--
21,-calif--
22,-d-c--
23,-dean
24,-england-
25,-fiction
26,-fictional
27,-fictitious
28,-football-
29,-george
30,-gr-
31,-history
32,-imaginary
33,-italy-
34,-la--
35,-los
36,-mass--
37,-murder-
38,-n-y--
39,-non-poetry-
40,-performing
41,-post
42,-psychology-
43,-read
44,-single
45,-specific
46,-television
47,0
48,0-0-0-0cant-find
49,0-0-bingo
50,0-4-star-rating
51,0-a-find-2016-summer-00
52,0-all2
53,0-best-picture-younger
54,0-boxed
55,0-c
56,0-eric-s-books
57,0-house-lbkc
58,0-kindle
59,0-love-funny
60,0-made-me-cry-moved-me
61,0-nonfiction
62,0-owned
63,0-paperback
64,0-pgs-200-to-299
65,0-physical-own
66,0-plays
67,0-plc
68,0-tbr-axz-usa
69,00-exploring-1
70,00-graphic-novels-read
71,00-in-class
72,00-to-read-00
73,00-to-read-02
74,0000
75,0000-to-buy
76,00000
77,0000_notverified
78,000src-su-25-11-3-x
79,000src-w-15-01-i-me-mine
80,001-150-pages
81,001-ebook
82,002-read-cookbook
83,002-une-bonne-selection
84,007
85,008-strategy
86,01
87,01-alphabet-authors
88,01-distopias
89,01-ecookbooks
90,01-folklore
91,01-irl-bookshelf-comics
92,01-mine
93,01-words
94,016-sam-j-miller
95,01_best-books
96,02-500-750
97,02-black-exp
98,02-fantasy
