user_id,book_id
9,8
15,398
15,275
37,7173
34,380
34,483
34,8598
34,3581
70,498
76,4250
94,1167
29,3508
29,4475
29,323
29,131
29,2304
105,233
113,6756
113,7127
29,2284
29,662
116,474
116,8697
124,682
124,5
94,4475
94,5704
94,1847
137,362
94,1239
94,10
94,94
124,546
29,709
29,4359
142,6932
124,8456
149,3156
149,3048
149,8355
149,2259
149,4388
149,1205
149,430
149,1915
149,3828
149,7277
149,8782
149,8382
149,6064
149,374
124,4531
124,2926
167,462
167,177
167,76
167,736
175,3156
175,969
185,4421
185,297
185,8167
185,2559
137,1272
184,323
112,217
112,3646
112,2770
112,5120
10,4369
207,25
210,614
194,7231
194,1624
194,360
194,516
194,301
219,2498
228,1519
185,48
212,690
229,1853
137,8859
116,658
179,2298
116,4232
116,239
116,38
116,1238
116,1365
116,1090
116,3106
116,5269
116,6173
116,4684
116,3404
116,2498
116,3986
242,28
